typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 22:10,45.525728,-73.559135,35,,
T,31/12/2017 22:10,45.525177,-73.557972,38,,
T,31/12/2017 22:10,45.524995,-73.556731,35,,
T,31/12/2017 22:10,45.52562,-73.555888,29,,
T,31/12/2017 22:10,45.525678,-73.554523,29,,
T,31/12/2017 22:10,45.525133,-73.552897,33,,
T,31/12/2017 22:11,45.524642,-73.551121,41,,
T,31/12/2017 22:11,45.523903,-73.549526,47,,
T,31/12/2017 22:11,45.523116,-73.547925,52,,
T,31/12/2017 22:11,45.522579,-73.546212,57,,
T,31/12/2017 22:11,45.522296,-73.54429,64,,
T,31/12/2017 22:11,45.521969,-73.542511,65,,
T,31/12/2017 22:12,45.521578,-73.54054,63,,
T,31/12/2017 22:12,45.521167,-73.538292,57,,
T,31/12/2017 22:12,45.520778,-73.536039,47,,
T,31/12/2017 22:12,45.520751,-73.533898,45,,
T,31/12/2017 22:12,45.520947,-73.531654,44,,
T,31/12/2017 22:12,45.521172,-73.529202,45,,
T,31/12/2017 22:13,45.521319,-73.527221,51,,
T,31/12/2017 22:13,45.521498,-73.525279,56,,
T,31/12/2017 22:13,45.521652,-73.523008,48,,
T,31/12/2017 22:13,45.521847,-73.520636,38,,
T,31/12/2017 22:13,45.521956,-73.518537,29,,
T,31/12/2017 22:14,45.522028,-73.517496,29,,
T,31/12/2017 22:14,45.522247,-73.517936,30,,
T,31/12/2017 22:14,45.522094,-73.518855,32,,
T,31/12/2017 22:14,45.521966,-73.52021,37,,
T,31/12/2017 22:14,45.521805,-73.521943,44,,
T,31/12/2017 22:14,45.521641,-73.523844,52,,
T,31/12/2017 22:15,45.521452,-73.52595,59,,
T,31/12/2017 22:15,45.521303,-73.527888,53,,
T,31/12/2017 22:15,45.521117,-73.530104,46,,
T,31/12/2017 22:15,45.520922,-73.532467,48,,
T,31/12/2017 22:15,45.520724,-73.534766,49,,
T,31/12/2017 22:15,45.520946,-73.536968,52,,
T,31/12/2017 22:16,45.521414,-73.539189,59,,
T,31/12/2017 22:16,45.521782,-73.541197,67,,
T,31/12/2017 22:16,45.522084,-73.543208,68,,
T,31/12/2017 22:16,45.522469,-73.545336,64,,
T,31/12/2017 22:16,45.523042,-73.5475,58,,
T,31/12/2017 22:16,45.523939,-73.549432,51,,
T,31/12/2017 22:17,45.524743,-73.551173,41,,
T,31/12/2017 22:17,45.525219,-73.552884,33,,
T,31/12/2017 22:17,45.525777,-73.554479,26,,
T,31/12/2017 22:17,45.5266,-73.555081,24,,
T,31/12/2017 22:17,45.527403,-73.556056,25,,
T,31/12/2017 22:17,45.527919,-73.557165,24,,
T,31/12/2017 22:18,45.528091,-73.557335,24,,
T,31/12/2017 22:18,45.528583,-73.558403,26,,
T,31/12/2017 22:19,45.529116,-73.559193,26,,
T,31/12/2017 22:20,45.529651,-73.558671,24,,
T,31/12/2017 22:20,45.530302,-73.558011,22,,
T,31/12/2017 22:20,45.529842,-73.556909,21,,
T,31/12/2017 22:20,45.529385,-73.555929,20,,
T,31/12/2017 22:21,45.528861,-73.55479,20,,
T,31/12/2017 22:21,45.528239,-73.553563,18,,
T,31/12/2017 22:21,45.527665,-73.552336,16,,
T,31/12/2017 22:21,45.527194,-73.551333,17,,
T,31/12/2017 22:22,45.526915,-73.550736,16,,
T,31/12/2017 22:22,45.526109,-73.551139,17,,
T,31/12/2017 22:22,45.525645,-73.55157,16,,
T,31/12/2017 22:22,45.52548,-73.551725,16,,
T,31/12/2017 22:23,45.52507,-73.550919,15,,
T,31/12/2017 22:23,45.524869,-73.550492,16,,
T,31/12/2017 22:23,45.524254,-73.549182,19,,
T,31/12/2017 22:24,45.523703,-73.548185,26,,
T,31/12/2017 22:24,45.523238,-73.547234,27,,
